lightblue ,"grayish, grey, gray ","gold, yellow, mustard, golden ",navy ,"bluish, blue, indigo, denim ","lightgrey, silver, light gray ","darkgrey, charcoal, black grey ","burlap, sand, taupe, tan, beige, light brown ","natural, neutral, greige, ivory, cream, off white ",black ,"pink, light pink, dark pink ",white  ,black and white ,"teal, light teal, dark teal "
[light blue grommet 107 inch black out curtain],[grayish grommet 107 inch black out curtain],[gold grommet 107 inch black out curtain],[navy grommet 107 inch black out curtain],[bluish grommet 107 inch black out curtain],[light gray grommet 107 inch black out curtain],[dark grey grommet 107 inch black out curtain],[burlap grommet 107 inch black out curtain],[natural grommet 107 inch black out curtain],[black grommet 107 inch black out curtain],[pink grommet 107 inch black out curtain],[white grommet 107 inch black out curtain],[black and white grommet 107 inch black out curtain],[teal grommet 107 inch black out curtain]
[light blue grommet 107 inch sun block curtain],[grey grommet 107 inch black out curtain],[yellow grommet 107 inch black out curtain],[navy grommet 107 inch sun block curtain],[blue grommet 107 inch black out curtain],[silver grommet 107 inch black out curtain],[charcoal grommet 107 inch black out curtain],[sand grommet 107 inch black out curtain],[neutral grommet 107 inch black out curtain],[black grommet 107 inch sun block curtain],[light pink grommet 107 inch black out curtain],[white grommet 107 inch sun block curtain],[black and white grommet 107 inch sun block curtain],[dark teal grommet 107 inch black out curtain]
[light blue grommet 107 inch sun blocking curtain],[gray grommet 107 inch black out curtain],[mustard grommet 107 inch black out curtain],[navy grommet 107 inch sun blocking curtain],[indigo grommet 107 inch black out curtain],[light grey grommet 107 inch black out curtain],[black grey grommet 107 inch black out curtain],[taupe grommet 107 inch black out curtain],[greige grommet 107 inch black out curtain],[black grommet 107 inch sun blocking curtain],[dark pink grommet 107 inch black out curtain],[white grommet 107 inch sun blocking curtain],[black and white grommet 107 inch sun blocking curtain],[light teal grommet 107 inch black out curtain]
[light blue grommet 107 inch black out drape],[grayish grommet 107 inch sun block curtain],[gold grommet 107 inch sun block curtain],[navy grommet 107 inch black out drape],[denim grommet 107 inch black out curtain],[light gray grommet 107 inch sun block curtain],[dark grey grommet 107 inch sun block curtain],[tan grommet 107 inch black out curtain],[ivory grommet 107 inch black out curtain],[black grommet 107 inch black out drape],[pink grommet 107 inch sun block curtain],[white grommet 107 inch black out drape],[black and white grommet 107 inch black out drape],[teal grommet 107 inch sun block curtain]
[light blue grommet 107 inch sun block drape],[grey grommet 107 inch sun block curtain],[yellow grommet 107 inch sun block curtain],[navy grommet 107 inch sun block drape],[bluish grommet 107 inch sun block curtain],[silver grommet 107 inch sun block curtain],[charcoal grommet 107 inch sun block curtain],[beige grommet 107 inch black out curtain],[cream grommet 107 inch black out curtain],[black grommet 107 inch sun block drape],[light pink grommet 107 inch sun block curtain],[white grommet 107 inch sun block drape],[black and white grommet 107 inch sun block drape],[dark teal grommet 107 inch sun block curtain]
[light blue grommet 107 inch sun blocking drape],[gray grommet 107 inch sun block curtain],[mustard grommet 107 inch sun block curtain],[navy grommet 107 inch sun blocking drape],[blue grommet 107 inch sun block curtain],[light grey grommet 107 inch sun block curtain],[black grey grommet 107 inch sun block curtain],[light brown grommet 107 inch black out curtain],[off white grommet 107 inch black out curtain],[black grommet 107 inch sun blocking drape],[dark pink grommet 107 inch sun block curtain],[white grommet 107 inch sun blocking drape],[black and white grommet 107 inch sun blocking drape],[light teal grommet 107 inch sun block curtain]
[light blue grommet 107 inch black out drapery],[grayish grommet 107 inch sun blocking curtain],[gold grommet 107 inch sun blocking curtain],[navy grommet 107 inch black out drapery],[indigo grommet 107 inch sun block curtain],[light gray grommet 107 inch sun blocking curtain],[dark grey grommet 107 inch sun blocking curtain],[burlap grommet 107 inch sun block curtain],[natural grommet 107 inch sun block curtain],[black grommet 107 inch black out drapery],[pink grommet 107 inch sun blocking curtain],[white grommet 107 inch black out drapery],[black and white grommet 107 inch black out drapery],[teal grommet 107 inch sun blocking curtain]
[light blue grommet 107 inch sun block drapery],[grey grommet 107 inch sun blocking curtain],[yellow grommet 107 inch sun blocking curtain],[navy grommet 107 inch sun block drapery],[denim grommet 107 inch sun block curtain],[silver grommet 107 inch sun blocking curtain],[charcoal grommet 107 inch sun blocking curtain],[sand grommet 107 inch sun block curtain],[neutral grommet 107 inch sun block curtain],[black grommet 107 inch sun block drapery],[light pink grommet 107 inch sun blocking curtain],[white grommet 107 inch sun block drapery],[black and white grommet 107 inch sun block drapery],[dark teal grommet 107 inch sun blocking curtain]
[light blue grommet 107 inch sun blocking drapery],[gray grommet 107 inch sun blocking curtain],[mustard grommet 107 inch sun blocking curtain],[navy grommet 107 inch sun blocking drapery],[bluish grommet 107 inch sun blocking curtain],[light grey grommet 107 inch sun blocking curtain],[black grey grommet 107 inch sun blocking curtain],[taupe grommet 107 inch sun block curtain],[greige grommet 107 inch sun block curtain],[black grommet 107 inch sun blocking drapery],[dark pink grommet 107 inch sun blocking curtain],[white grommet 107 inch sun blocking drapery],[black and white grommet 107 inch sun blocking drapery],[light teal grommet 107 inch sun blocking curtain]
[light blue grommet 107 inch black out panel],[grayish grommet 107 inch black out drape],[gold grommet 107 inch black out drape],[navy grommet 107 inch black out panel],[blue grommet 107 inch sun blocking curtain],[light gray grommet 107 inch black out drape],[dark grey grommet 107 inch black out drape],[tan grommet 107 inch sun block curtain],[ivory grommet 107 inch sun block curtain],[black grommet 107 inch black out panel],[pink grommet 107 inch black out drape],[white grommet 107 inch black out panel],[black and white grommet 107 inch black out panel],[teal grommet 107 inch black out drape]
